event_id,timestamp,log_type,severity,scenario,event_source,event_name,principal_id,arn,cloud_source_ip,tags_json,request_parameters_json,user_agent,verb,resource_name,namespace,username,pod_ip,is_privileged,labels_json,controller_owner,service_type,rbac_change,session_type,session_name,issuer,token_ttl_seconds,is_true_anomaly
d7e3b90d-cba5-4e81-a4c8-e4925f65eb97,2026-06-20T00:09:05+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRole,svc-metrics,arn:aws:sts::123456789012:assumed-role/ProdDeployRole/svc-metrics-10e0a719,203.0.113.11,"{""Application"": ""recommendation-engine"", ""CostCenter"": ""cc-2030"", ""Environment"": ""stage"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""svc-metrics""}","{""ephemeral"": true, ""region"": ""us-east-1"", ""resource"": ""recommendation-engine-7790feba""}",aws-cli/2,,,,,,,,,,,,,,,0
be5b77af-bed5-4a6d-9548-9e7f940b2bb9,2026-06-20T00:09:07+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRole,argocd-svc,arn:aws:sts::123456789012:assumed-role/ProdDeployRole/argocd-svc-77653c85,10.0.1.15,"{""Application"": ""recommendation-engine"", ""CostCenter"": ""cc-2030"", ""Environment"": ""infra"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""argocd-svc""}","{""ephemeral"": true, ""region"": ""us-west-2"", ""resource"": ""recommendation-engine-36480758""}",botocore/1,,,,,,,,,,,,,,,0
c1981b9a-2f3b-42d9-a228-40e6385597d9,2026-06-20T00:09:31+00:00,cloudtrail,INFO,baseline,ec2.amazonaws.com,DescribeInstances,github-actions-svc,arn:aws:iam::123456789012:role/CICDRole,203.0.113.10,"{""Application"": ""metrics-adapter"", ""CostCenter"": ""cc-3110"", ""Environment"": ""stage"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""github-actions-svc""}","{""ephemeral"": true, ""region"": ""us-east-1"", ""resource"": ""metrics-adapter-383b03e3""}",botocore/1,,,,,,,,,,,,,,,0
adcd72ec-5233-4095-8dbc-534eb3715e3c,2026-06-20T00:10:14+00:00,k8s_audit,INFO,baseline,,,,,,,,,create,notification-svc-8bb4d955,staging,dev-alice,10.0.3.169,0.0,"{""app"": ""notification-svc"", ""env"": ""infra"", ""managed-by"": ""argocd"", ""owner"": ""identity""}",replicaset/notification-svc-rs,,read-only-rolebinding,,,,,0
f7e06f64-af72-4b5b-b379-bb73d49f24a3,2026-06-20T00:11:37+00:00,cloudtrail,INFO,baseline,s3.amazonaws.com,PutObject,hpa-controller,arn:aws:iam::123456789012:user/hpa-controller,203.0.113.55,"{""Application"": ""metrics-adapter"", ""CostCenter"": ""cc-2030"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""hpa-controller""}","{""ephemeral"": true, ""region"": ""us-west-2"", ""resource"": ""metrics-adapter-23fcd2c9""}",botocore/1,,,,,,,,,,,,,,,0
73677398-0a1a-4605-9a70-3e91d9c8c359,2026-06-20T00:11:38+00:00,cloudtrail,INFO,baseline,ec2.amazonaws.com,DescribeInstances,devops-pipeline,arn:aws:iam::123456789012:role/ProdDeployRole,203.0.113.11,"{""Application"": ""notification-svc"", ""CostCenter"": ""cc-3110"", ""Environment"": ""infra"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""devops-pipeline""}","{""ephemeral"": true, ""region"": ""us-east-1"", ""resource"": ""notification-svc-feb70136""}",github-actions-runner,,,,,,,,,,,,,,,0
359062ea-58a5-46d9-b5b5-071fa7476522,2026-06-20T00:12:13+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-down,payment-processor-7f92185d,monitoring,devops-pipeline,172.19.4.179,0.0,"{""app"": ""payment-processor"", ""env"": ""infra"", ""managed-by"": ""github-actions"", ""owner"": ""identity""}",deployment/payment-processor,ClusterIP,,,,,,0
e5eaaacc-7373-4906-99c1-c44669f21748,2026-06-20T00:13:01+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRole,flux-controller,arn:aws:sts::123456789012:assumed-role/ProdDeployRole/flux-controller-11fe0f25,172.19.1.28,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-1042"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 3600, ""provider"": ""github-oidc"", ""sessionName"": ""flux-controller-8fde1561""}",aws-cli/2,,,,,,,,,,,assumed_role,flux-controller-d45b4aa64b,github-oidc,600.0,0
b8680cd7-8fc8-4ed4-a174-a6c882b7ee8d,2026-06-20T00:13:32+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-down,api-gateway-2f588494,kube-system,flux-controller,172.19.3.182,0.0,"{""app"": ""api-gateway"", ""env"": ""prod"", ""managed-by"": ""github-actions"", ""owner"": ""identity""}",deployment/api-gateway,ClusterIP,,,,,,0
85f859c6-0e78-4112-8fe5-01701fb550aa,2026-06-20T00:13:56+00:00,cloudtrail,INFO,baseline,ec2.amazonaws.com,DescribeInstances,svc-metrics,arn:aws:iam::123456789012:user/svc-metrics,203.0.113.55,"{""Application"": ""api-gateway"", ""CostCenter"": ""cc-3110"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""svc-metrics""}","{""ephemeral"": true, ""region"": ""us-west-2"", ""resource"": ""api-gateway-ae941949""}",botocore/1,,,,,,,,,,,,,,,0
063f11f1-5e36-4b92-be78-6a3c70a8d255,2026-06-20T00:14:19+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-up,auth-service-e6e11601,kube-system,svc-metrics,192.168.1.230,0.0,"{""app"": ""auth-service"", ""env"": ""infra"", ""managed-by"": ""github-actions"", ""owner"": ""identity""}",deployment/auth-service,,,,,,,0
04c8e151-a334-4673-b5f7-e60f29bc4ab1,2026-06-20T00:14:40+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRole,github-actions-svc,arn:aws:sts::123456789012:assumed-role/CICDRole/github-actions-svc-f3d893a3,203.0.113.55,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-2030"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 3600, ""provider"": ""saml.corp.example"", ""sessionName"": ""github-actions-svc-f022fb7e""}",terraform/1.8,,,,,,,,,,,assumed_role,github-actions-svc-07cdbce60a,github-oidc,3600.0,0
4b701c04-8235-4a7e-9779-87b2e7a6bb82,2026-06-20T00:14:46+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRole,svc-metrics,arn:aws:sts::123456789012:assumed-role/CICDRole/svc-metrics-2e1443ef,203.0.113.55,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-2030"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 900, ""provider"": ""oidc.eks.amazonaws.com"", ""sessionName"": ""svc-metrics-96175010""}",botocore/1,,,,,,,,,,,assumed_role,svc-metrics-30a7fb462b,eks-oidc,900.0,0
de77e537-5b67-4868-be6e-f1c4497be3bd,2026-06-20T00:14:49+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,GetCallerIdentity,jenkins-deployer,arn:aws:iam::123456789012:role/CICDRole,172.19.2.247,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-2030"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 3600, ""provider"": ""oidc.eks.amazonaws.com"", ""sessionName"": ""jenkins-deployer-fa153f6b""}",aws-cli/2,,,,,,,,,,,federation,jenkins-deployer-6737f3c5c2,eks-oidc,3600.0,0
c4d1f6c3-0f69-4976-9a8c-4177a065e797,2026-06-20T00:15:16+00:00,k8s_audit,INFO,baseline,,,,,,,,,delete,metrics-adapter-53e772a0,staging,kube-scheduler,10.0.0.77,0.0,"{""app"": ""metrics-adapter"", ""env"": ""prod"", ""managed-by"": ""github-actions"", ""owner"": ""payments""}",replicaset/metrics-adapter-rs,ClusterIP,,,,,,0
1ae2f05f-4f7d-4f56-8dc9-38d53baf3680,2026-06-20T00:15:44+00:00,k8s_audit,INFO,baseline,,,,,,,,,create,recommendation-engine-d01020a0,infra,argocd-svc,10.0.1.31,0.0,"{""app"": ""recommendation-engine"", ""env"": ""infra"", ""managed-by"": ""github-actions"", ""owner"": ""identity""}",replicaset/recommendation-engine-rs,,read-only-rolebinding,,,,,0
d59b421f-d7c0-4f29-8658-61fc6df05d23,2026-06-20T00:17:21+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-down,notification-svc-75c3fc38,kube-system,metrics-server,10.0.5.118,0.0,"{""app"": ""notification-svc"", ""env"": ""prod"", ""managed-by"": ""hpa"", ""owner"": ""payments""}",job/notification-svc-cleanup,ClusterIP,,,,,,0
76b3a938-c1d1-401c-9640-295bfe623b59,2026-06-20T00:17:34+00:00,k8s_audit,INFO,baseline,,,,,,,,,get,metrics-adapter-2de078b5,infra,metrics-server,172.19.4.159,0.0,"{""app"": ""metrics-adapter"", ""env"": ""infra"", ""managed-by"": ""argocd"", ""owner"": ""payments""}",job/metrics-adapter-cleanup,,,,,,,0
0ae2400f-c044-40ec-a905-86b6fa1fa28e,2026-06-20T00:17:52+00:00,k8s_audit,INFO,baseline,,,,,,,,,delete,api-gateway-850a257e,monitoring,ci-runner-svc,10.0.3.161,0.0,"{""app"": ""api-gateway"", ""env"": ""infra"", ""managed-by"": ""argocd"", ""owner"": ""identity""}",job/api-gateway-cleanup,ClusterIP,read-only-rolebinding,,,,,0
d148b2de-7311-4e71-b21e-d0f87f612684,2026-06-20T00:18:17+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-up,recommendation-engine-159f8b6b,monitoring,argocd-svc,172.19.3.93,0.0,"{""app"": ""recommendation-engine"", ""env"": ""stage"", ""managed-by"": ""argocd"", ""owner"": ""platform""}",deployment/recommendation-engine,ClusterIP,,,,,,0
f8bdbabc-ba7a-4d86-bfe4-09c0544af23b,2026-06-20T00:20:15+00:00,cloudtrail,INFO,baseline,ec2.amazonaws.com,DescribeInstances,github-actions-svc,arn:aws:iam::123456789012:role/CICDRole,203.0.113.11,"{""Application"": ""notification-svc"", ""CostCenter"": ""cc-1042"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""github-actions-svc""}","{""ephemeral"": true, ""region"": ""us-west-2"", ""resource"": ""notification-svc-fd3df90f""}",botocore/1,,,,,,,,,,,,,,,0
c1745652-5f82-4b1a-9c84-87af55db7256,2026-06-20T00:20:51+00:00,k8s_audit,INFO,baseline,,,,,,,,,create,notification-svc-1aef2cb3,staging,svc-metrics,192.168.2.24,0.0,"{""app"": ""notification-svc"", ""env"": ""infra"", ""managed-by"": ""hpa"", ""owner"": ""payments""}",deployment/notification-svc,ClusterIP,read-only-rolebinding,,,,,0
ea900f8b-0f7c-4304-bc1c-e523a736c733,2026-06-20T00:20:58+00:00,cloudtrail,INFO,baseline,s3.amazonaws.com,PutBucketTagging,flux-controller,arn:aws:iam::123456789012:role/ProdDeployRole,203.0.113.10,"{""Application"": ""payment-processor"", ""CostCenter"": ""cc-2030"", ""Environment"": ""infra"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""flux-controller""}","{""ephemeral"": true, ""region"": ""us-east-1"", ""resource"": ""payment-processor-bc5f25bf""}",botocore/1,,,,,,,,,,,,,,,0
2994ad2a-ad74-416b-9b98-b797e325a0e6,2026-06-20T00:21:13+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-up,notification-svc-05b3da95,infra,jenkins-deployer,172.19.2.226,0.0,"{""app"": ""notification-svc"", ""env"": ""prod"", ""managed-by"": ""github-actions"", ""owner"": ""identity""}",job/notification-svc-cleanup,ClusterIP,,,,,,0
900a7886-dfdb-4af1-a6d3-5195c33f5b57,2026-06-20T00:23:19+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-up,api-gateway-61825dd8,monitoring,ci-runner-svc,172.19.0.38,0.0,"{""app"": ""api-gateway"", ""env"": ""stage"", ""managed-by"": ""hpa"", ""owner"": ""payments""}",replicaset/api-gateway-rs,ClusterIP,,,,,,0
aea65b1a-2dc0-4d78-a0a9-f4867986869e,2026-06-20T00:25:01+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRoleWithWebIdentity,hpa-controller,arn:aws:sts::123456789012:assumed-role/ProdDeployRole/hpa-controller-bdf9c444,203.0.113.55,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-1042"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 3600, ""provider"": ""saml.corp.example"", ""sessionName"": ""hpa-controller-df22075e""}",aws-cli/2,,,,,,,,,,,service_account_token,hpa-controller-c86a80a585,corp-saml,3600.0,0
3a39350b-fd25-4d37-b054-dbbd1f6866a3,2026-06-20T00:25:06+00:00,cloudtrail,INFO,baseline,s3.amazonaws.com,PutBucketTagging,jenkins-deployer,arn:aws:iam::123456789012:role/CICDRole,203.0.113.11,"{""Application"": ""auth-service"", ""CostCenter"": ""cc-2030"", ""Environment"": ""infra"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""jenkins-deployer""}","{""ephemeral"": true, ""region"": ""us-east-1"", ""resource"": ""auth-service-20db23d6""}",terraform/1.8,,,,,,,,,,,,,,,0
8b46dc30-005e-4838-b538-7c1a7284c0b9,2026-06-20T00:25:16+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRoleWithWebIdentity,github-actions-svc,arn:aws:sts::123456789012:assumed-role/ProdDeployRole/github-actions-svc-9d114f6c,203.0.113.10,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-1042"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 1800, ""provider"": ""github-oidc"", ""sessionName"": ""github-actions-svc-cd847e46""}",botocore/1,,,,,,,,,,,service_account_token,github-actions-svc-1f9dc12c81,corp-saml,3600.0,0
75675518-ecc5-4e12-831b-749b3e40e17e,2026-06-20T00:26:00+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRoleWithWebIdentity,flux-controller,arn:aws:sts::123456789012:assumed-role/CICDRole/flux-controller-48d1b72d,203.0.113.55,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-3110"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 3600, ""provider"": ""oidc.eks.amazonaws.com"", ""sessionName"": ""flux-controller-90a2e9a7""}",github-actions-runner,,,,,,,,,,,service_account_token,flux-controller-eb44456325,corp-saml,600.0,0
2474a78d-a632-4629-b16c-1809b1291f99,2026-06-20T00:26:46+00:00,cloudtrail,INFO,baseline,s3.amazonaws.com,CreateBucket,hpa-controller,arn:aws:iam::123456789012:user/hpa-controller,203.0.113.11,"{""Application"": ""payment-processor"", ""CostCenter"": ""cc-3110"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""hpa-controller""}","{""ephemeral"": true, ""region"": ""us-west-2"", ""resource"": ""payment-processor-d170ac5a""}",terraform/1.8,,,,,,,,,,,,,,,0
1b288530-7c0f-4d33-b7c0-8e11fbe0fe8b,2026-06-20T00:27:08+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRole,ci-runner-svc,arn:aws:sts::123456789012:assumed-role/CICDRole/ci-runner-svc-586fd825,203.0.113.11,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-1042"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 3600, ""provider"": ""saml.corp.example"", ""sessionName"": ""ci-runner-svc-10063bee""}",aws-cli/2,,,,,,,,,,,assumed_role,ci-runner-svc-d624d1e539,github-oidc,1800.0,0
e5555785-6f3b-4958-b3b3-a2a225be40e9,2026-06-20T00:27:44+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-up,notification-svc-5251bf84,staging,jenkins-deployer,10.0.1.97,0.0,"{""app"": ""notification-svc"", ""env"": ""stage"", ""managed-by"": ""github-actions"", ""owner"": ""identity""}",replicaset/notification-svc-rs,,read-only-rolebinding,,,,,0
f54c703b-ca50-4f66-901b-10614073e26d,2026-06-20T00:28:18+00:00,k8s_audit,INFO,baseline,,,,,,,,,delete,metrics-adapter-219c8d96,production,hpa-controller,172.19.2.246,0.0,"{""app"": ""metrics-adapter"", ""env"": ""prod"", ""managed-by"": ""argocd"", ""owner"": ""payments""}",replicaset/metrics-adapter-rs,,,,,,,0
1c36833b-6fc3-4c0c-b7b9-fa659b263c16,2026-06-20T00:28:56+00:00,cloudtrail,INFO,baseline,s3.amazonaws.com,PutBucketTagging,dev-alice,arn:aws:iam::123456789012:user/dev-alice,203.0.113.11,"{""Application"": ""auth-service"", ""CostCenter"": ""cc-3110"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""dev-alice""}","{""ephemeral"": true, ""region"": ""ap-south-1"", ""resource"": ""auth-service-96f4aa7b""}",github-actions-runner,,,,,,,,,,,,,,,0
914ae83f-4ceb-4bf7-880d-d00b58354aca,2026-06-20T00:29:26+00:00,cloudtrail,INFO,baseline,ec2.amazonaws.com,DescribeInstances,github-actions-svc,arn:aws:iam::123456789012:role/CICDRole,192.168.0.180,"{""Application"": ""payment-processor"", ""CostCenter"": ""cc-3110"", ""Environment"": ""stage"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""github-actions-svc""}","{""ephemeral"": true, ""region"": ""us-west-2"", ""resource"": ""payment-processor-2045d7ea""}",github-actions-runner,,,,,,,,,,,,,,,0
f4f98505-6cb2-4331-be11-4a00bc17705e,2026-06-20T00:30:37+00:00,cloudtrail,INFO,baseline,s3.amazonaws.com,PutBucketTagging,jenkins-deployer,arn:aws:iam::123456789012:role/CICDRole,203.0.113.10,"{""Application"": ""metrics-adapter"", ""CostCenter"": ""cc-3110"", ""Environment"": ""stage"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""jenkins-deployer""}","{""ephemeral"": true, ""region"": ""ap-south-1"", ""resource"": ""metrics-adapter-f2cd502b""}",terraform/1.8,,,,,,,,,,,,,,,0
5eb3ec21-0392-4e8d-a206-9ad316aa06d7,2026-06-20T00:31:09+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRole,metrics-server,arn:aws:sts::123456789012:assumed-role/ProdDeployRole/metrics-server-029f712f,203.0.113.11,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-1042"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 1800, ""provider"": ""github-oidc"", ""sessionName"": ""metrics-server-43ad79dc""}",botocore/1,,,,,,,,,,,assumed_role,metrics-server-9f0fd1542f,github-oidc,600.0,0
4e0189a4-7b7f-4dd9-9a8d-79d173e3f70f,2026-06-20T00:34:22+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRoleWithWebIdentity,metrics-server,arn:aws:sts::123456789012:assumed-role/CICDRole/metrics-server-6cdd1b8b,203.0.113.11,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-3110"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 1800, ""provider"": ""oidc.eks.amazonaws.com"", ""sessionName"": ""metrics-server-5a584105""}",terraform/1.8,,,,,,,,,,,service_account_token,metrics-server-9b15257cfd,eks-oidc,3600.0,0
686f26c7-abb7-4ac5-ba9d-289eb13dc358,2026-06-20T00:34:31+00:00,k8s_audit,INFO,baseline,,,,,,,,,get,recommendation-engine-a5ca7a2b,production,jenkins-deployer,10.0.4.225,0.0,"{""app"": ""recommendation-engine"", ""env"": ""stage"", ""managed-by"": ""hpa"", ""owner"": ""platform""}",deployment/recommendation-engine,ClusterIP,,,,,,0
4b0c7516-f021-4df4-9239-9b9c5b81333c,2026-06-20T00:34:55+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRole,flux-controller,arn:aws:sts::123456789012:assumed-role/ProdDeployRole/flux-controller-0bad66b8,203.0.113.11,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-2030"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 3600, ""provider"": ""saml.corp.example"", ""sessionName"": ""flux-controller-30a76423""}",github-actions-runner,,,,,,,,,,,assumed_role,flux-controller-6ce72f759a,github-oidc,600.0,0
6132da69-d87d-46ae-a8f1-264884724ed0,2026-06-20T00:35:37+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,GetCallerIdentity,hpa-controller,arn:aws:iam::123456789012:user/hpa-controller,203.0.113.55,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-1042"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 900, ""provider"": ""github-oidc"", ""sessionName"": ""hpa-controller-191c91af""}",botocore/1,,,,,,,,,,,federation,hpa-controller-96991e259a,corp-saml,3600.0,0
d10c8e96-aac5-48e8-aa72-9980510d4fd3,2026-06-20T00:35:38+00:00,k8s_audit,INFO,baseline,,,,,,,,,delete,recommendation-engine-a8f4a70d,kube-system,jenkins-deployer,172.19.3.165,0.0,"{""app"": ""recommendation-engine"", ""env"": ""prod"", ""managed-by"": ""argocd"", ""owner"": ""identity""}",replicaset/recommendation-engine-rs,ClusterIP,,,,,,0
ea0deded-3590-4fc8-b42e-99bb9926aa5c,2026-06-20T00:36:13+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,GetCallerIdentity,svc-metrics,arn:aws:iam::123456789012:user/svc-metrics,203.0.113.55,"{""Application"": ""auth-service"", ""CostCenter"": ""cc-3110"", ""Environment"": ""stage"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""svc-metrics""}","{""ephemeral"": true, ""region"": ""us-west-2"", ""resource"": ""auth-service-395c6ca8""}",botocore/1,,,,,,,,,,,,,,,0
ffc5b1fa-eaaa-4017-8f2c-7ca3f9febad7,2026-06-20T00:37:15+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-up,auth-service-3a90fb40,staging,ci-runner-svc,192.168.1.31,0.0,"{""app"": ""auth-service"", ""env"": ""prod"", ""managed-by"": ""hpa"", ""owner"": ""platform""}",deployment/auth-service,ClusterIP,,,,,,0
